date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-03-03,,2,,,,3,
2018-03-04,,,,,,,
2018-03-05,,,,,,,
2018-03-06,,,,,,,
2018-03-07,,,,,,,
2018-03-08,,,,,,,
2018-03-09,,,,,,,
2018-03-10,,,,,,,
2018-03-11,,,,,,,
2018-03-12,,,,,,,
2018-03-13,,,,,,,
2018-03-14,98876486.3770421,4285,0.0,0.075966,4774280.0,3241,2962.6740000000004
2018-03-15,4049895.5835887454,610,0.0,0.076377,2279000.0,750,1002.753633
2018-03-16,7750186.357783508,384,0.0,0.08575,2194000.0,413,1347.4755
2018-03-17,1571790.0930132323,252,0.0,0.099252,933224.0,270,986.1743233800001
2018-03-18,493054.41035639116,210,0.0,0.086149,860845.0,226,181.1035074257292
2018-03-19,1290301.9556087689,204,0.0,0.090401,987198.9999999999,202,890.7310694308
2018-03-20,689112.8444381007,163,37167435.51730039,0.098356,841064.0000000001,179,1126.447515026
2018-03-21,1300105.265295198,234,40085223.208305314,0.104777,1890079.9999999998,284,1011.58185809821
2018-03-22,6746364.346810529,179,47247834.60568136,0.122181,1295320.0,196,895.6980124547999
2018-03-23,1726698.5022159116,297,50663383.4875722,0.130057,3331850.0,377,1459.889825
2018-03-24,2121562.5599977192,149,66362690.182860434,0.169338,1333590.0,198,1693.3799999999999
2018-03-25,985646.2652464252,111,56110748.33857016,0.142854,1324240.0,142,1428.5400000000002
2018-03-26,3380024.7885885774,82,50793604.390955254,0.128536,793403.0,97,1448.6939471608002
2018-03-27,163378.4622992041,64,49206573.37575247,0.124339,470221.0,83,584.3933000000001
2018-03-28,666279.8453918238,82,44593780.948765785,0.111654,767344.0,92,719.3588085
2018-03-29,2664100.5682894043,80,48188624.196914464,0.125626,468792.99999999994,105,3403.3936383499995
2018-03-30,461001.7535070409,53,39024667.205518186,0.10102,494279.0,75,1275.17546
2018-03-31,388274.78550004197,88,38446835.251125544,0.099213,230909.00000000003,101,14.89683195
2018-04-01,5823548.341915029,109,43726330.72768044,0.10363,1010460.0,115,2279.86
2018-04-02,1128362.1302420616,83,38923403.25673916,0.091715,239693.99999999997,80,561.277401971
