date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-18,,161,,,,32,
2017-12-19,,598,,,,81,
2017-12-20,,511,,,,49,
2017-12-21,,301,,,,54,
2017-12-22,,2141,,,,100,
2017-12-23,,630,,,,108,
2017-12-24,,740,,,,109,
2017-12-25,,729,,,,257,
2017-12-26,,434,,,,58,
2017-12-27,3657719.683510499,389,0.0,0.915159,324695.0,62,3660.636
2017-12-28,4905594.785924171,603,0.0,0.968816,342596.0,52,3875.264
2017-12-29,1600423.488917039,293,0.0,0.992185,107929.0,45,3021.0734479835
2017-12-30,2603851.405918405,399,3441859.421286985,0.999102,157220.0,44,3996.4080000000004
2017-12-31,1864795.308021664,209,3399923.6702115913,0.986929,435465.0,55,3947.716
2018-01-01,1822313.9259873924,254,3439640.917466922,0.998458,187507.0,42,3993.832
2018-01-02,4563243.977620094,600,3417007.264987564,0.991888,328776.0,75,3967.552
2018-01-03,2877496.9590907004,385,3407268.0847993554,0.989061,457807.0,49,3956.2439999999997
2018-01-04,4250309.923627825,453,3431058.7819722774,0.997557,749044.0,67,3990.228
2018-01-05,4343320.293067577,451,3479402.124913997,1.01,892893.0,67,4040.0
2018-01-06,1457793.3126811036,156,3442357.400856,0.997491,798358.0,45,3989.964
2018-01-07,4213092.844154284,429,3444952.980081644,1.0,571177.0,56,6356.0
2018-01-08,5962944.488035871,736,3441221.3003250575,0.998917,647729.0,82,3995.668
2018-01-09,4628212.1710888585,380,3423111.60385502,0.99366,1190990.0,43,8981.30123796
2018-01-10,3301903.956594368,436,3442027.484885466,0.999151,1403670.0,46,7993.2080000000005
2018-01-11,7497568.656828565,416,2696051.3915939997,0.778917,2396900.0,42,18694.007999999998
2018-01-12,8335506.794022307,256,3479402.070750647,1.01,220227.0,40,40400.0
2018-01-13,9991273.067951126,384,3426917.6476784316,0.996631,977432.0,66,23919.144
2018-01-14,9694329.836793017,310,9448914.509192338,1.02,539692.0,36,40800.0
2018-01-15,7907571.479857633,242,9248254.463710813,0.998339,437562.0,40,39933.56
2018-01-16,25846252.679133695,888,9237184.335527943,0.997144,1028360.0,71,23931.456000000002
2018-01-17,21943923.066643734,877,8764264.632106569,0.975613,732904.0,99,23414.712
2018-01-18,10435069.760574454,370,9446209.219194,0.998447,698147.0,76,33098.273952853
2018-01-19,8935554.129539177,340,9433498.858504001,0.996044,452323.0,73,39841.76
2018-01-20,7116434.265050459,316,9599612.67439916,1.0,385589.0,69,20765.6270800347
2018-01-21,13857125.254679207,451,10028991.0,1.0,460369.0,64,40000.0
2018-01-22,15403111.852960788,513,9716123.0,1.0,717274.0,74,40000.0
2018-01-23,9027460.092861457,379,9728795.522413991,0.994534,470957.0,99,23868.816
2018-01-24,7181239.023888618,328,9795184.561523078,0.998488,446502.0,81,23963.712
2018-01-25,9976025.619898494,368,9738373.411764707,1.04,849223.0,72,41600.0
2018-01-26,6409308.836950971,335,9561579.029126212,1.02,722646.0,72,8362.500600000001
