date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-12-18,,2,,,,3,
2017-12-19,,42,,,,41,
2017-12-20,,71,,,,72,
2017-12-21,314902180.9049929,1351,0.0,1.1,83836704.0,907,33246.4
2017-12-22,44224296.65445129,291,0.0,1.12,47206300.0,290,14505.12
2017-12-23,13699331.448504468,192,0.0,0.814893,146587008.0,194,4011.77528151
2017-12-24,20612502.847461,229,0.0,1.11,109527000.0,220,5044.950000000001
2017-12-25,18789793.455368,259,0.0,1.04,141999008.0,228,5652.400000000001
2017-12-26,18698431.579214,363,0.0,1.07,96674400.0,246,3776.03
2017-12-27,13364522.849732,362,289787155.96330273,1.16,101350000.0,267,4619.12
2017-12-28,19988337.381052,272,272500000.0,1.09,83430600.0,214,4694.63
2017-12-29,8792335.65874471,278,245672311.82673267,0.979257,104384000.0,201,2454.997299
2017-12-30,7334006.972622,286,252500000.0,1.01,73298200.0,214,3027.97798
2017-12-31,1846966.9649126953,233,220021089.675,0.878205,125966000.0,170,2110.84651236
2018-01-01,6585532.59669946,258,247530299.02857143,0.993784,102594000.0,203,4960.472836
2018-01-02,17892677.97393938,342,260361523.80952382,1.04,94632304.0,261,3883.36
2018-01-03,13530246.170178138,460,262673177.08333334,1.05,112121000.0,310,3152.322075
2018-01-04,19072284.465443805,794,356835792.34972674,1.43,175774000.0,442,2961.9854549999995
2018-01-05,12602265.377888,16909,444131575.75757575,1.78,145088000.0,16322,1.78
2018-01-06,7839523.289387097,495,412304166.6666667,1.65,142120000.0,415,2553.396449835
2018-01-07,24129557.317024294,911,494591625.0,1.98,257380992.0,568,3847.14
2018-01-08,14621964.747263996,554,586159166.6666666,2.34,193158000.0,425,2335.3199999999997
2018-01-09,11343665.683854626,482,542488883.1967213,2.17,190280992.00000003,383,2569.714
2018-01-10,12552230.28139898,527,611108557.6923077,2.44,144928000.0,433,1890.268
2018-01-11,4445608.935319365,351,519029850.7462687,2.08,125951000.0,319,2080.6212960000003
2018-01-12,8900197.717653377,584,505061131.5789474,2.02,92879000.0,395,3151.6999499999997
2018-01-13,10791899.768085346,497,474727459.0163934,1.9,110863000.0,374,2850.0
2018-01-14,9557567.73808338,390,455016347.3053893,1.82,87942000.0,333,2578.71068
2018-01-15,9088255.154320512,451,415335661.76470584,1.66,87526600.0,353,3210.03496
2018-01-16,10590599.633190958,442,339822201.83486235,1.36,81588400.0,371,2314.1692000000003
2018-01-17,5039861.92092441,379,269738372.0930233,1.08,77727200.0,358,1597.27464
2018-01-18,5005544.797521034,404,324634963.768116,1.3,100792000.00000001,328,1526.3891500000002
2018-01-19,3481305.2638075287,375,341974693.25153375,1.37,110191000.0,331,1458.40747
2018-01-20,5171020.848036567,436,406008409.0909091,1.62,73716000.0,344,2371.41918
2018-01-21,10021737.507087518,463,494235569.62025315,1.98,98559504.0,329,3395.6999998019996
2018-01-22,5904591.319958992,352,401074125.87412596,1.6,90484304.0,289,2035.3919999999998
2018-01-23,2223794.676004201,256,356917500.0,1.43,95158000.0,215,1466.162555
2018-01-24,17430745.700648095,695,354288027.77777773,1.42,176700992.0,435,3233.3399999999997
2018-01-25,16667230.820947774,1248,447714956.3318777,1.79,306731008.0,632,3828.184395
2018-01-26,12162099.03106602,573,572393169.8564594,2.29,200738000.0,366,3407.32764
2018-01-27,4415943.856970164,471,523164512.82051283,2.09,149428000.0,298,1550.78
2018-01-28,5545732.167580784,428,493029623.1155779,1.97,147646000.0,280,3881.491
2018-01-29,13115086.026421612,412,496407869.04761904,1.99,146344992.0,306,2844.1824061
2018-01-30,8469889.268760761,439,517416724.137931,2.07,131353000.0,309,2645.147844
2018-01-31,40908422.184924506,386,436595531.0880829,1.75,175035008.0,283,2147.4845
2018-02-01,8278894.646755359,847,486055588.23529416,1.94,185272000.0,605,1320.41444
2018-02-02,10872486.405534558,439,424494811.32075465,1.7,93876096.0,327,4249.99999983
